Subject,Start Date,Start Time,End Date,End Time
DA class 1 tidyverse,30-01-2018,09:00:00,30-01-2018,12:00:00
DA class 2 agreement,06-02-2018,09:00:00,06-02-2018,12:00:00
DA class 3 binomial,13-02-2018,09:00:00,13-02-2018,12:00:00
DA class 4 binomial ci,20-02-2018,09:00:00,20-02-2018,12:00:00
DA class 5 PCA,27-02-2018,09:00:00,27-02-2018,12:00:00
DA class 6 CA MCA,06-03-2018,09:00:00,06-03-2018,12:00:00
DA class 7 clustering,13-03-2018,09:00:00,13-03-2018,12:00:00
DA class 8 mixed effects,20-03-2018,09:00:00,20-03-2018,12:00:00
DA HW 2 deadline,20-02-2018,23:59:00,20-02-2018,23:59:00
DA HW 3 deadline,27-02-2018,23:59:00,27-02-2018,23:59:00
DA HW 4 deadline,06-03-2018,23:59:00,06-03-2018,23:59:00
DA HW 5 deadline,20-03-2018,23:59:00,20-03-2018,23:59:00
DA HW 5 deadline,25-03-2018,23:59:00,25-03-2018,23:59:00
